date, pm25, pm10, o3, no2, so2, co
2023-03-25,73,78,33,14,3,5
2023-03-26,75,50,36,15,3,4
2023-03-27,62,56,52,18,3,5
2023-03-28,79,86,66,24,5,6
2023-03-29,142,77,65,21,3,5
2023-03-30,123,67,69,20,5,6
2023-03-31,109,63,57,19,4,10
2022-10-01,86,38,49,13,4,5
2022-10-02,83,41,29,11,3,4
2022-10-03,92,31,27,12,3,6
2022-10-04,61,33,23,14,3,5
2022-10-05,54,29,30,14,3,3
2022-10-06,55,32,33,13,3,6
2022-10-07,66,31,35,14,4,3
2022-10-08,60,33,27,12,2,4
2022-10-09,63,26,32,3,1,2
2022-10-10,58,23,30,7,3,4
2022-10-11,58,38,36,15,5,5
2022-10-12,67,39,38,15,3,2
2022-10-13,63,35,37,13,2,3
2022-10-14,57,26,37,12,2,3
2022-10-15,54,30,36,11,3,4
2022-10-16,66,43,39,10,2,5
2022-10-17,91,31,32,11,1,3
2022-10-18,60,41,37,14,1,3
2022-10-19,67,42,41,20,2,4
2022-10-20,76,45,40,21,2,4
2022-10-21,88,28,46,11,1,3
2022-10-22,61,35,41,11,4,5
2022-10-23,69,34,31,17,2,4
2022-10-24,48,30,31,20,4,4
2022-10-25,55,30,27,17,3,3
2022-10-26,54,36,36,19,3,4
2022-10-27,71,49,31,24,3,5
2022-10-28,83,36,23,20,2,3
2022-10-29,72,24,25,13,2,4
2022-10-30,57,39,36,18,2,3
2022-10-31,74,40,40,20,2,3
2022-11-01,73,58,43,18,2,5
2022-11-02,121,52,43,17,3,6
2022-11-03,103,37,32,12,2,3
2022-11-04,75,37,33,11,2,3
2022-11-05,69,38,38,12,4,5
2022-11-06,75,43,36,21,1,5
2022-11-07,83,54,41,26,3,6
2022-11-08,95,58,42,25,2,5
2022-11-09,105,62,50,25,3,5
2022-11-10,139,64,40,30,3,8
2022-11-11,132,45,46,15,4,5
2022-11-12,96,31,32,15,4,6
2022-11-13,58,38,31,16,2,3
2022-11-14,78,34,32,11,3,3
2022-11-15,75,45,33,12,4,4
2022-11-16,93,43,32,17,5,5
2022-11-17,93,59,37,32,6,6
2022-11-18,106,64,38,31,11,9
2022-11-19,118,42,32,16,3,4
2022-11-20,80,37,33,18,4,4
2022-11-21,78,45,32,30,7,7
2022-11-22,95,34,31,13,4,5
2022-11-23,63,42,23,13,3,4
2022-11-24,86,54,37,14,4,3
2022-11-25,98,48,35,7,4,3
2022-11-26,92,50,32,14,2,5
2022-11-27,75,50,31,20,4,5
2022-11-28,92,25,23,14,3,5
2022-11-29,56,21,27,15,1,5
2022-11-30,45,20,26,12,2,3
2022-12-01,47,33,26,14,2,5
2022-12-02,60,40,27,23,2,6
2022-12-03,71,31,28,9,2,4
2022-12-04,66,22,23,12,2,3
2022-12-05,45,38,24,15,2,5
2022-12-06,63,47,28,19,2,6
2022-12-07,81,46,28,16,2,3
2022-12-08,82,61,33,18,2,4
2022-12-09,95,56,32,20,3,5
2022-12-10,112,34,32,13,3,4
2022-12-11,66,32,22,20,1,4
2022-12-12,56,73,28,12,2,3
2022-12-13,102,33,26,9,1,3
2022-12-14,58,33,24,15,1,2
2022-12-15,63,28,23,14,1,3
2022-12-16,66,23,24,12,1,2
2022-12-17,61,22,27,9,3,2
2022-12-18,57,29,24,14,2,3
2022-12-19,57,33,26,21,1,3
2022-12-20,68,43,24,26,2,4
2022-12-21,83,39,24,12,1,3
2022-12-22,71,39,29,8,1,2
2022-12-23,59,24,26,12,1,3
2022-12-24,60,27,31,10,1,4
2022-12-25,66,31,27,17,1,4
2022-12-26,73,31,30,18,1,4
2022-12-27,74,46,29,16,1,5
2022-12-28,91,35,28,14,1,4
2022-12-29,71,38,28,16,1,4
2022-12-30,83,32,31,10,1,4
2022-12-31,75,50,35,14,3,5
2023-01-01,115,24,28,12,1,4
2022-07-01,61,45,44,13,12,3
2022-07-02,82,29,42,13,11,3
2022-07-03,63,30,35,13,7,3
2022-07-04,59,36,30,16,16,5
2022-07-05,70,29,32,10,6,4
